carrera,institucion,acreditacion_institucion,acreditacion_carrera,periodo_acreditacion_carrera,Desde,Hasta
Diseño Gráfico,UNIVERSIDAD DE CHILE,7 años,5 años ,2012 - 2017,2012,2017
Diseño Industrial,UNIVERSIDAD DE CHILE,7 años,5 años ,2012 - 2017,2012,2017
Diseño,UNIVERSIDAD DE TALCA,5 años,5 años,2014 - 2019,2014,2019
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,5 años,6 años,2013 - 2019,2013,2019
Diseño Industrial,UNIVERSIDAD DEL BIO-BIO,5 años,6 años,2013 - 2019,2013,2019
Diseño,UNIVERSIDAD DE VALPARAISO,5 años,5 años,2015 - 2020,2015,2020
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,7 años,7 años,2015 - 2022,2015,2022
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,no acreditada,no acreditada,-,-,-
Diseño Gráfico Computacional,CFT ICEL,no acreditada,no acreditada,-,-,-
Diseño Gráfico Computacional,CFT ICEL,no acreditada,no acreditada,-,-,-
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
Diseño Web & Mobile,CFT INACAP,6 años,no acreditada,-,-,-
Diseño y Producción Gráfica,CFT INACAP,6 años,5 años,2014 - 2019,2014,2019
